company,real,model,correct,guess,completion_tokens,latency_s
6,Netflix,qwen35-27b,1,"1) **Netflix, Inc.**  2) **Specific Clues:** *   **Co-Chief Executive Officers:** The text explicitly names ""David Hartwell and Claire Morri",409,9.0
7,Palantir,qwen35-27b,1,1) **Palantir Technologies Inc.**  2) **Specific Clues:** *   **Founding History & Origin:** The report states the company was founded in **,642,12.2
8,SanDisk,qwen35-27b,1,"1) **Western Digital Corporation**  2) **Specific Clues:** *   **The ""Spin-Off"" Narrative:** The report describes a separation from a parent",416,9.1
1,AMD,qwen35-35b-a3b,1,1) **AMD (Advanced Micro Devices)**  2) **Specific Clues:** *   **Product Lineup and Codenames:** The report lists specific product families,544,4.4
2,AppLovin,qwen35-35b-a3b,0,"1) **Unity Software Inc.**  2) **Specific Clues:** *   **Product Name Parallels:** The report describes ""NexReach"" as a user acquisition sol",700,4.7
3,General Motors,qwen35-35b-a3b,1,"1) General Motors (GM)  2) **Specific Clues:** *   **The ""Ignition Switch Recall"":** The text explicitly mentions legal proceedings, fines, ",700,5.2
4,Kroger,qwen35-35b-a3b,1,"1) **Kroger Co.**  2) **Specific Clues:** *   **Fiscal Year End:** The report states the fiscal year ends on the ""last day of January."" This",700,5.3
5,McKesson,qwen35-35b-a3b,1,"1) **Apex Health Distribution** (Modeled on **McKesson Corporation**)  2) **Specific Clues:** *   **The ""Nexus Health Exchange"" Joint Ventur",642,4.7
6,Netflix,qwen35-35b-a3b,1,"1) **Netflix, Inc.**  2) **Specific Clues:** *   **AWS Dependency:** The report explicitly states, ""Currently, we run the vast majority of o",373,3.2
7,Palantir,qwen35-35b-a3b,1,"1) Palantir Technologies  2) **Clues from the text:** *   **Founding History & Origin:** The text states the company was ""founded in 2003"" a",473,4.0
8,SanDisk,qwen35-35b-a3b,0,"1) **Kioxia Holdings Corporation** (formerly Toshiba Memory Corporation)  2) **Specific Clues:** *   **The ""Kaisen"" Partnership:** The text ",621,4.4
1,AMD,qwen35-9b,1,"1) **Advanced Micro Devices (AMD)**  2) **Specific Clues:** *   **Product Lineup & Naming:** The report lists the ""Apex"" series (referencing",392,3.3
2,AppLovin,qwen35-9b,0,"1) **Unity Software** (Ticker: U)  2) **Specific Clues:** *   **The ""Prism"" AI Engine & ""NexReach"" Product:** The report describes an AI-pow",433,3.8
3,General Motors,qwen35-9b,1,"1) **General Motors (GM)**  2) **Specific Clues:** *   **Ignition Switch Recall:** The report explicitly mentions ""proceedings related to th",324,3.3
4,Kroger,qwen35-9b,0,"1) **Ahold Corp.** (now known as **The Ahold Delhaize Companies**, following the 2016 merger with Delhaize and the 2021 merger with Stop & S",595,4.7
5,McKesson,qwen35-9b,0,"1) **Apex Health Distribution** (specifically the company **Apex Healthcare** or its successor, **Apex Health Distribution**, which was late",653,5.0
6,Netflix,qwen35-9b,1,"Based on the anonymized text provided, here is the identification of the real company:  1) **Netflix, Inc.**  2) **Specific Clues:** *   **E",310,2.9
7,Palantir,qwen35-9b,1,"Based on the detailed business description, product names, and specific historical context provided in the anonymized report, here is the id",528,4.1
8,SanDisk,qwen35-9b,1,1) **Western Digital Corporation (WD)**  2) **Specific Clues:** *   **Spin-off from FlashCore Storage:** The report explicitly states the co,394,3.6
